SiteID,lat,lon,datum
421010003,39.94418,-75.16572,WGS84
421330008,39.96528,-76.69944,WGS84
340071007,39.9889897827976,-75.0497559600348,WGS84
340292002,39.9948649948858,-74.1703918683941,WGS84
180650003,40.0103405960854,-85.5235110676157,WGS84
080130012,40.0211,-105.26338,WGS84
421011002,40.03598,-75.0024,WGS84
420710007,40.04667,-76.28333,WGS84
170191001,40.0522790275953,-88.372547109067,WGS84
420170012,40.10722,-74.88222,WGS84
420910013,40.11222,-75.30917,WGS84
540690010,40.11488,-80.70097,WGS84
170190004,40.1238,-88.22953,WGS84
170190006,40.12389,-88.24055,WGS84
180950011,40.1257,-85.65218,WGS84
421250005,40.14667,-79.90222,WGS84
080130003,40.16458,-105.10086,WGS84
421250200,40.17056,-80.26139,WGS84
081230008,40.20939,-104.82405,WGS84
340210008,40.2224012383798,-74.7631686520584,WGS84
420430401,40.2457764553571,-76.8456057053571,WGS84
420410101,40.24653,-77.18675,WGS84
420033007,40.2942961938959,-79.8855893895871,WGS84
421290008,40.30469,-79.50567,WGS84
420210011,40.30972,-78.915,WGS84
420110009,40.32028,-75.92667,WGS84
540090005,40.34102,-80.59664,WGS84
420110011,40.38335,-75.9686,WGS84
420110010,40.39269,-75.92522,WGS84
191110008,40.40096,-91.39101,WGS84
081230006,40.41488,-104.70693,WGS84
540291004,40.42154,-80.58072,WGS84
421255001,40.44528,-80.42083,WGS84
420990301,40.45694,-77.16556,WGS84
340230006,40.472805888014,-74.422472335958,WGS84
081070003,40.4852,-106.83163,WGS84
180670003,40.4855031065469,-86.1328511168164,WGS84
171132003,40.51873,-88.9969,WGS84
080690009,40.57129,-105.07969,WGS84
360850067,40.5969296616541,-74.1256446115288,WGS84
340392003,40.60394,-74.27617,WGS84
420770004,40.61194,-75.4325,WGS84
420950025,40.62806,-75.34111,WGS84
360590008,40.6310257395702,-73.73388,WGS84
340390004,40.64144,-74.20837,WGS84
420950027,40.64589,-75.4044,WGS84
340390006,40.6734130449827,-74.213950899654,WGS84
191770006,40.69508,-92.00632,WGS84
171430037,40.69701,-89.58474,WGS84
340410006,40.69921,-75.18053,WGS84
360470122,40.7196679661017,-73.9477618644068,WGS84
340171003,40.72545,-74.05229,WGS84
360610128,40.7300098365385,-73.98446,WGS84
340130015,40.73029,-74.21274,WGS84
360810124,40.7361572282609,-73.8220009057971,WGS84
361030002,40.74529,-73.41919,WGS84
420070014,40.7478,-80.31644,WGS84
360610056,40.7591629086538,-73.9665241826923,WGS84
340172002,40.77279,-74.03172,WGS84
060231004,40.77694,-124.1775,WGS84
490353010,40.78422,-111.931,WGS84
340273001,40.78763,-74.6763,WGS84
340270004,40.8013893646649,-74.4836190600522,WGS84
420270100,40.81139,-77.87703,WGS84
360050080,40.8360672107438,-73.9201332644628,WGS84
340030003,40.85226,-73.97331,WGS84
360050133,40.8679,-73.87809,WGS84
490110004,40.90297,-111.88447,WGS84
340310005,40.9184719542254,-74.1679179753521,WGS84
191370002,40.96911,-95.04495,WGS84
391030004,41.0604,-81.9239,WGS84
090013005,41.1125,-73.40722,WGS84
090019003,41.11833,-73.33667,WGS84
311530007,41.133583667263,-95.9558522182469,WGS84
560210001,41.13998,-104.8178,WGS84
181830003,41.16965,-85.62929,WGS84
090010010,41.17083,-73.19472,WGS84
560210100,41.18223,-104.77833,WGS84
420850100,41.21501,-80.48478,WGS84
171971011,41.22154,-88.19097,WGS84
310550052,41.253748159292,-96.0744874424779,WGS84
191550009,41.26417,-95.89612,WGS84
420791101,41.26556,-75.84639,WGS84
090090026,41.29111,-72.89417,WGS84
170990007,41.29301,-89.04942,WGS84
090090027,41.3012577972934,-72.9028258681255,WGS84
090091123,41.31083,-72.91694,WGS84
560010006,41.31159,-105.59172,WGS84
090092008,41.33139,-72.91972,WGS84
090011123,41.39917,-73.44306,WGS84
191390015,41.4009568669818,-91.0678615023633,WGS84
191390020,41.4069,-91.0616,WGS84
191390018,41.41439,-91.06261,WGS84
191390016,41.41943,-91.07098,WGS84
420692006,41.44278,-75.62306,WGS84
360710002,41.4992521913044,-74.0091117043478,WGS84
191630020,41.51208,-90.62404,WGS84
171613002,41.51473,-90.51735,WGS84
191630019,41.51777,-90.61875,WGS84
